q,kv,d,group,kernel,fused_output_group_span,min_ms,mean_ms,cosine,splits,split_kv_len,storage_bytes,status,error,command
32768,32768,256,6,sm120_fused,2,13.23635196685791,13.23635196685791,0.9908535480499268,1,32768,50176,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_sm120_nvfp4_cutlass_fused_attention.py --device 0 --q-len 32768 --kv-len 32768 --head-dim 256 --group 6 --split-kv-len 32768 --warmup 1 --repeat 1 --sm120-qkv-online-splitkv-reuse2-full-grid-bench
32768,32768,256,6,nvfp4_fa2,,23.44099235534668,23.44099235534668,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 32768 --head-dim 256 --group-sizes 6 --batch-size 1 --only grouped-fp4 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
32768,32768,256,6,fp8_fa2,,20.8887996673584,20.8887996673584,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 32768 --head-dim 256 --group-sizes 6 --batch-size 1 --only fp8 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
32768,32768,256,6,bf16_fa2,,14.258432388305664,14.258432388305664,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 32768 --head-dim 256 --group-sizes 6 --batch-size 1 --only bf16 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
32768,65536,256,6,sm120_fused,2,26.418848037719727,26.418848037719727,0.9923005700111389,2,32768,50176,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_sm120_nvfp4_cutlass_fused_attention.py --device 0 --q-len 32768 --kv-len 65536 --head-dim 256 --group 6 --split-kv-len 32768 --warmup 1 --repeat 1 --sm120-qkv-online-splitkv-reuse2-full-grid-bench
32768,65536,256,6,nvfp4_fa2,,70.39635467529297,70.39635467529297,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 65536 --head-dim 256 --group-sizes 6 --batch-size 1 --only grouped-fp4 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
32768,65536,256,6,fp8_fa2,,62.33078384399414,62.33078384399414,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 65536 --head-dim 256 --group-sizes 6 --batch-size 1 --only fp8 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
32768,65536,256,6,bf16_fa2,,42.05376052856445,42.05376052856445,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 65536 --head-dim 256 --group-sizes 6 --batch-size 1 --only bf16 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
32768,131072,256,6,sm120_fused,2,52.674720764160156,52.674720764160156,0.9911091327667236,4,32768,50176,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_sm120_nvfp4_cutlass_fused_attention.py --device 0 --q-len 32768 --kv-len 131072 --head-dim 256 --group 6 --split-kv-len 32768 --warmup 1 --repeat 1 --sm120-qkv-online-splitkv-reuse2-full-grid-bench
32768,131072,256,6,nvfp4_fa2,,172.5564727783203,172.5564727783203,,,,,ok,,/home/josh/tdm/infer/current/.venv/bin/python /home/josh/tdm/infer/worktrees/flashinfer-nvfp4-kv/benchmarks/bench_nvfp4_fmha_v2_gqa_grouped_attention.py --device 0 --gemma4-shape custom --q-len 32768 --kv-len 131072 --head-dim 256 --group-sizes 6 --batch-size 1 --only grouped-fp4 --fp4-backend fa2 --fp4-v-layout nhd --fp4-v-sf-layout linear --bf16-backend fa2 --warmup 1 --repeat 1
